REGIME_DIAG 2024-10-01 | adx=13.73 | bb_pct=0.22 | ema9=227.14 | ema21=225.34 | +di=27.85 | -di=26.32
REGIME_DIAG 2024-10-02 | adx=12.80 | bb_pct=0.21 | ema9=227.07 | ema21=225.47 | +di=26.08 | -di=25.70
REGIME_DIAG 2024-10-03 | adx=11.94 | bb_pct=0.21 | ema9=226.79 | ema21=225.49 | +di=24.72 | -di=24.36
REGIME_DIAG 2024-10-04 | adx=11.40 | bb_pct=0.20 | ema9=226.79 | ema21=225.61 | +di=25.07 | -di=22.94
REGIME_DIAG 2024-10-07 | adx=10.92 | bb_pct=0.19 | ema9=225.77 | ema21=225.25 | +di=23.02 | -di=25.25
REGIME_DIAG 2024-10-08 | adx=10.40 | bb_pct=0.16 | ema9=225.77 | ema21=225.30 | +di=21.97 | -di=23.62
REGIME_DIAG 2024-10-09 | adx=10.27 | bb_pct=0.18 | ema9=226.52 | ema21=225.69 | +di=26.01 | -di=21.87
REGIME_DIAG 2024-10-10 | adx=10.16 | bb_pct=0.19 | ema9=227.03 | ema21=225.99 | +di=25.05 | -di=21.06
REGIME_DIAG 2024-10-11 | adx=10.05 | bb_pct=0.18 | ema9=227.13 | ema21=226.13 | +di=24.21 | -di=20.36
REGIME_DIAG 2024-10-14 | adx=10.49 | bb_pct=0.10 | ema9=227.97 | ema21=226.60 | +di=26.34 | -di=18.97
REGIME_DIAG 2024-10-15 | adx=11.99 | bb_pct=0.04 | ema9=229.14 | ema21=227.26 | +di=32.87 | -di=17.11
REGIME_DIAG 2024-10-16 | adx=12.64 | bb_pct=0.01 | ema9=229.67 | ema21=227.67 | +di=30.77 | -di=20.05
REGIME_DIAG 2024-10-17 | adx=13.56 | bb_pct=0.02 | ema9=230.17 | ema21=228.08 | +di=31.91 | -di=18.97
REGIME_DIAG 2024-10-18 | adx=14.80 | bb_pct=0.05 | ema9=231.13 | ema21=228.71 | +di=33.62 | -di=17.72
REGIME_DIAG 2024-10-21 | adx=16.07 | bb_pct=0.12 | ema9=232.20 | ema21=229.41 | +di=33.39 | -di=17.00
REGIME_DIAG 2024-10-22 | adx=16.65 | bb_pct=0.15 | ema9=232.93 | ema21=230.00 | +di=31.19 | -di=19.02
REGIME_DIAG 2024-10-23 | adx=15.86 | bb_pct=0.14 | ema9=232.50 | ema21=230.07 | +di=27.16 | -di=24.28
REGIME_DIAG 2024-10-24 | adx=15.13 | bb_pct=0.13 | ema9=232.11 | ema21=230.12 | +di=26.08 | -di=23.31
REGIME_DIAG 2024-10-25 | adx=14.98 | bb_pct=0.13 | ema9=231.97 | ema21=230.23 | +di=28.50 | -di=21.90
REGIME_DIAG 2024-10-28 | adx=15.17 | bb_pct=0.13 | ema9=232.26 | ema21=230.52 | +di=29.45 | -di=20.67
REGIME_DIAG 2024-10-29 | adx=15.26 | bb_pct=0.13 | ema9=232.54 | ema21=230.81 | +di=28.41 | -di=20.34
REGIME_DIAG 2024-10-30 | adx=14.55 | bb_pct=0.12 | ema9=232.05 | ema21=230.74 | +di=26.35 | -di=23.73
REGIME_DIAG 2024-10-31 | adx=14.16 | bb_pct=0.12 | ema9=230.82 | ema21=230.30 | +di=24.19 | -di=29.05
REGIME_DIAG 2024-11-01 | adx=14.79 | bb_pct=0.17 | ema9=229.24 | ema21=229.63 | +di=21.88 | -di=34.90
REGIME_DIAG 2024-11-04 | adx=15.47 | bb_pct=0.16 | ema9=227.79 | ema21=228.94 | +di=20.67 | -di=33.94
REGIME_DIAG 2024-11-05 | adx=15.76 | bb_pct=0.19 | ema9=226.93 | ema21=228.44 | +di=21.69 | -di=32.26
REGIME_DIAG 2024-11-06 | adx=15.44 | bb_pct=0.27 | ema9=226.08 | ema21=227.92 | +di=23.54 | -di=29.53
REGIME_DIAG 2024-11-07 | adx=14.67 | bb_pct=0.27 | ema9=226.36 | ema21=227.88 | +di=24.55 | -di=26.93
REGIME_DIAG 2024-11-08 | adx=13.75 | bb_pct=0.27 | ema9=226.48 | ema21=227.80 | +di=24.96 | -di=25.86
REGIME_DIAG 2024-11-11 | adx=13.98 | bb_pct=0.30 | ema9=226.03 | ema21=227.47 | +di=22.61 | -di=31.88
REGIME_DIAG 2024-11-12 | adx=14.20 | bb_pct=0.30 | ema9=225.67 | ema21=227.18 | +di=21.71 | -di=30.62
REGIME_DIAG 2024-11-13 | adx=14.09 | bb_pct=0.31 | ema9=225.56 | ema21=226.99 | +di=22.10 | -di=28.49
REGIME_DIAG 2024-11-14 | adx=13.36 | bb_pct=0.30 | ema9=226.09 | ema21=227.10 | +di=24.54 | -di=26.52
REGIME_DIAG 2024-11-15 | adx=12.86 | bb_pct=0.27 | ema9=225.87 | ema21=226.91 | +di=22.80 | -di=25.95
REGIME_DIAG 2024-11-18 | adx=12.25 | bb_pct=0.18 | ema9=226.30 | ema21=227.01 | +di=25.87 | -di=23.78
REGIME_DIAG 2024-11-19 | adx=11.78 | bb_pct=0.09 | ema9=226.70 | ema21=227.13 | +di=25.01 | -di=22.29
REGIME_DIAG 2024-11-20 | adx=11.12 | bb_pct=0.08 | ema9=227.16 | ema21=227.30 | +di=23.21 | -di=22.06
REGIME_DIAG 2024-11-21 | adx=10.58 | bb_pct=0.07 | ema9=227.43 | ema21=227.41 | +di=21.79 | -di=20.33
REGIME_DIAG 2024-11-22 | adx=10.24 | bb_pct=0.06 | ema9=227.92 | ema21=227.63 | +di=21.75 | -di=19.35
REGIME_DIAG 2024-11-25 | adx=10.65 | bb_pct=0.05 | ema9=228.91 | ema21=228.11 | +di=24.98 | -di=18.10
REGIME_DIAG 2024-11-26 | adx=11.60 | bb_pct=0.08 | ema9=230.14 | ema21=228.74 | +di=28.05 | -di=17.19
REGIME_DIAG 2024-11-27 | adx=12.52 | bb_pct=0.14 | ema9=231.10 | ema21=229.30 | +di=27.26 | -di=16.57
REGIME_DIAG 2024-11-29 | adx=13.86 | bb_pct=0.26 | ema9=232.34 | ema21=230.03 | +di=29.34 | -di=15.34
REGIME_DIAG 2024-10-01 | adx=392.14 | bb_pct=0.62 | ema9=252.08 | ema21=240.45 | +di=27.21 | -di=13.47
REGIME_DIAG 2024-10-02 | adx=382.48 | bb_pct=0.60 | ema9=251.47 | ema21=241.23 | +di=24.19 | -di=16.69
REGIME_DIAG 2024-10-03 | adx=366.28 | bb_pct=0.59 | ema9=249.31 | ema21=241.17 | +di=22.27 | -di=17.81
REGIME_DIAG 2024-10-04 | adx=353.05 | bb_pct=0.51 | ema9=249.46 | ema21=241.98 | +di=21.52 | -di=16.59
REGIME_DIAG 2024-10-07 | adx=333.07 | bb_pct=0.42 | ema9=247.74 | ema21=241.88 | +di=20.16 | -di=18.15
REGIME_DIAG 2024-10-08 | adx=314.24 | bb_pct=0.37 | ema9=247.09 | ema21=242.12 | +di=19.37 | -di=17.54
REGIME_DIAG 2024-10-09 | adx=299.06 | bb_pct=0.34 | ema9=245.88 | ema21=242.02 | +di=19.15 | -di=16.55
REGIME_DIAG 2024-10-10 | adx=284.67 | bb_pct=0.31 | ema9=244.46 | ema21=241.72 | +di=17.73 | -di=20.39
REGIME_DIAG 2024-10-11 | adx=295.83 | bb_pct=0.38 | ema9=239.13 | ema21=239.55 | +di=14.96 | -di=28.72
REGIME_DIAG 2024-10-14 | adx=306.88 | bb_pct=0.44 | ema9=235.13 | ema21=237.70 | +di=14.16 | -di=27.60
REGIME_DIAG 2024-10-15 | adx=312.10 | bb_pct=0.48 | ema9=232.02 | ema21=236.05 | +di=15.06 | -di=26.28
REGIME_DIAG 2024-10-16 | adx=316.95 | bb_pct=0.51 | ema9=229.88 | ema21=234.71 | +di=14.65 | -di=25.56
REGIME_DIAG 2024-10-17 | adx=322.84 | bb_pct=0.56 | ema9=228.08 | ema21=233.45 | +di=14.20 | -di=25.54
REGIME_DIAG 2024-10-18 | adx=327.80 | bb_pct=0.60 | ema9=226.61 | ema21=232.29 | +di=14.02 | -di=24.94
REGIME_DIAG 2024-10-21 | adx=337.40 | bb_pct=0.64 | ema9=225.06 | ema21=231.07 | +di=13.46 | -di=26.74
REGIME_DIAG 2024-10-22 | adx=346.98 | bb_pct=0.65 | ema9=223.64 | ema21=229.88 | +di=13.06 | -di=26.33
REGIME_DIAG 2024-10-23 | adx=360.32 | bb_pct=0.67 | ema9=221.64 | ema21=228.41 | +di=12.33 | -di=27.52
REGIME_DIAG 2024-10-24 | adx=365.27 | bb_pct=0.68 | ema9=229.41 | ema21=231.32 | +di=35.99 | -di=19.09
REGIME_DIAG 2024-10-25 | adx=375.66 | bb_pct=0.71 | ema9=237.37 | ema21=234.76 | +di=37.40 | -di=17.41
REGIME_DIAG 2024-10-28 | adx=388.29 | bb_pct=0.71 | ema9=242.39 | ema21=237.29 | +di=37.29 | -di=16.19
REGIME_DIAG 2024-10-29 | adx=389.19 | bb_pct=0.71 | ema9=245.82 | ema21=239.31 | +di=35.07 | -di=19.46
REGIME_DIAG 2024-10-30 | adx=390.02 | bb_pct=0.73 | ema9=248.17 | ema21=240.97 | +di=33.37 | -di=18.51
REGIME_DIAG 2024-10-31 | adx=380.39 | bb_pct=0.73 | ema9=248.50 | ema21=241.77 | +di=31.10 | -di=21.51
REGIME_DIAG 2024-11-01 | adx=367.48 | bb_pct=0.73 | ema9=248.60 | ema21=242.43 | +di=29.58 | -di=22.19
REGIME_DIAG 2024-11-04 | adx=344.45 | bb_pct=0.73 | ema9=247.45 | ema21=242.47 | +di=27.59 | -di=25.86
REGIME_DIAG 2024-11-05 | adx=330.70 | bb_pct=0.74 | ema9=248.25 | ema21=243.28 | +di=29.53 | -di=23.75
REGIME_DIAG 2024-11-06 | adx=345.89 | bb_pct=0.81 | ema9=256.30 | ema21=247.40 | +di=42.39 | -di=18.69
REGIME_DIAG 2024-11-07 | adx=365.56 | bb_pct=0.87 | ema9=264.42 | ema21=251.90 | +di=44.68 | -di=17.22
REGIME_DIAG 2024-11-08 | adx=395.95 | bb_pct=0.92 | ema9=275.78 | ema21=258.20 | +di=52.08 | -di=14.47
REGIME_DIAG 2024-11-11 | adx=432.68 | bb_pct=0.96 | ema9=290.63 | ema21=266.54 | +di=56.77 | -di=12.04
REGIME_DIAG 2024-11-12 | adx=453.27 | bb_pct=0.97 | ema9=298.20 | ema21=272.18 | +di=50.28 | -di=16.10
REGIME_DIAG 2024-11-13 | adx=471.53 | bb_pct=0.97 | ema9=304.61 | ema21=277.45 | +di=45.62 | -di=14.95
REGIME_DIAG 2024-11-14 | adx=476.02 | bb_pct=0.97 | ema9=305.92 | ema21=280.52 | +di=41.87 | -di=18.74
REGIME_DIAG 2024-11-15 | adx=479.03 | bb_pct=0.96 | ema9=308.88 | ema21=284.17 | +di=39.17 | -di=18.01
REGIME_DIAG 2024-11-18 | adx=491.76 | bb_pct=0.96 | ema9=314.85 | ema21=289.14 | +di=44.35 | -di=16.01
REGIME_DIAG 2024-11-19 | adx=503.59 | bb_pct=0.95 | ema9=321.08 | ema21=294.30 | +di=41.73 | -di=15.06
REGIME_DIAG 2024-11-20 | adx=514.57 | bb_pct=0.93 | ema9=325.27 | ema21=298.64 | +di=39.60 | -di=14.30
REGIME_DIAG 2024-11-21 | adx=525.37 | bb_pct=0.93 | ema9=328.15 | ema21=302.37 | +di=38.07 | -di=13.53
REGIME_DIAG 2024-11-22 | adx=540.98 | bb_pct=0.94 | ema9=333.03 | ema21=306.93 | +di=39.90 | -di=12.21
REGIME_DIAG 2024-11-25 | adx=555.63 | bb_pct=0.93 | ema9=334.14 | ema21=309.81 | +di=36.28 | -di=11.05
REGIME_DIAG 2024-11-26 | adx=565.78 | bb_pct=0.92 | ema9=334.96 | ema21=312.39 | +di=34.60 | -di=11.58
REGIME_DIAG 2024-11-27 | adx=563.24 | bb_pct=0.89 | ema9=334.54 | ema21=314.26 | +di=32.32 | -di=14.56
REGIME_DIAG 2024-11-29 | adx=562.55 | bb_pct=0.86 | ema9=336.67 | ema21=317.07 | +di=31.83 | -di=13.79
